genres,genres,,,,,,,,,,,,,,,,,,
Adventure|Drama|Sci-Fi|Thriller,Adventure,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Biography|Drama|Romance|War,Biography,Drama,Romance,War,,,,,,,,,,,,,,,
Drama|Mystery,Drama,Mystery,,,,,,,,,,,,,,,,,
Drama|Mystery,Drama,Mystery,,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Action|Horror|Romance|Sci-Fi|Thriller,Action,Horror,Romance,Sci-Fi,Thriller,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Music,Music,,,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Biography|Crime|Drama|Thriller,Biography,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Thriller,Thriller,,,,,,,,,,,,,,,,,,
Action|Drama|History|Romance|War|Western,Action,Drama,History,Romance,War,Western,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Action|Animation|Sci-Fi|Thriller,Action,Animation,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Drama|Western,Drama,Western,,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Drama|Horror|Mystery|Thriller,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Crime|Drama,Comedy,Crime,Drama,,,,,,,,,,,,,,,,
Action|Horror,Action,Horror,,,,,,,,,,,,,,,,,
Drama|Music|Musical|Romance,Drama,Music,Musical,Romance,,,,,,,,,,,,,,,
Action|Animation|Comedy|Crime|Family,Action,Animation,Comedy,Crime,Family,,,,,,,,,,,,,,
Drama|History|War,Drama,History,War,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Drama|Family|Music|Musical,Drama,Family,Music,Musical,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Fantasy|Horror|Thriller,Fantasy,Horror,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Drama|Family|Musical|Romance,Drama,Family,Musical,Romance,,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Adventure|Comedy|Drama|Romance,Adventure,Comedy,Drama,Romance,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|History,Action,Adventure,History,,,,,,,,,,,,,,,,
Comedy|Drama|Family|Fantasy|Sci-Fi,Comedy,Drama,Family,Fantasy,Sci-Fi,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Horror|Mystery,Horror,Mystery,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Comedy|Music|Romance,Comedy,Music,Romance,,,,,,,,,,,,,,,,
Drama|Fantasy|Romance,Drama,Fantasy,Romance,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Biography|Drama|Sport,Biography,Drama,Sport,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Crime|Drama|Music|Romance,Comedy,Crime,Drama,Music,Romance,,,,,,,,,,,,,,
Comedy|Music|Romance,Comedy,Music,Romance,,,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sport,Comedy,Drama,Romance,Sport,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy|Musical,Adventure,Comedy,Family,Fantasy,Musical,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Drama|History|War,Action,Adventure,Drama,History,War,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Music,Comedy,Music,,,,,,,,,,,,,,,,,
Action|Adventure|Family|Sci-Fi,Action,Adventure,Family,Sci-Fi,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Biography|Drama|Romance|Sport,Biography,Drama,Romance,Sport,,,,,,,,,,,,,,,
Adventure|Crime|Drama|Romance,Adventure,Crime,Drama,Romance,,,,,,,,,,,,,,,
Drama|Mystery|Romance|Thriller,Drama,Mystery,Romance,Thriller,,,,,,,,,,,,,,,
Adventure|Horror|Thriller,Adventure,Horror,Thriller,,,,,,,,,,,,,,,,
Biography|Crime|Drama|Thriller,Biography,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Crime|Drama|Romance|Thriller,Crime,Drama,Romance,Thriller,,,,,,,,,,,,,,,
Comedy|Mystery|Sci-Fi|Thriller,Comedy,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Adventure|Animation|Family|Fantasy,Adventure,Animation,Family,Fantasy,,,,,,,,,,,,,,,
Sci-Fi,Sci-Fi,,,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Comedy|Drama|Family|Romance,Comedy,Drama,Family,Romance,,,,,,,,,,,,,,,
Biography|Drama|Romance,Biography,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Mystery|Romance|Thriller,Drama,Mystery,Romance,Thriller,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Biography|Drama|Romance,Biography,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sport,Comedy,Drama,Romance,Sport,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Fantasy|Horror|Mystery|Thriller,Drama,Fantasy,Horror,Mystery,Thriller,,,,,,,,,,,,,,
Adventure|Comedy|Drama|Romance,Adventure,Comedy,Drama,Romance,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Drama|Fantasy|War,Drama,Fantasy,War,,,,,,,,,,,,,,,,
Drama|Fantasy|Mystery|Thriller,Drama,Fantasy,Mystery,Thriller,,,,,,,,,,,,,,,
Action|Comedy|Crime|Family,Action,Comedy,Crime,Family,,,,,,,,,,,,,,,
Crime|Drama|Romance|Thriller,Crime,Drama,Romance,Thriller,,,,,,,,,,,,,,,
Drama|Horror|Thriller,Drama,Horror,Thriller,,,,,,,,,,,,,,,,
Adventure|Comedy|Drama,Adventure,Comedy,Drama,,,,,,,,,,,,,,,,
Action|Crime,Action,Crime,,,,,,,,,,,,,,,,,
Action|Comedy|Mystery,Action,Comedy,Mystery,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Romance|War,Action,Adventure,Drama,Romance,War,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror,Comedy,Fantasy,Horror,,,,,,,,,,,,,,,,
Comedy|Crime|Mystery,Comedy,Crime,Mystery,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Drama|Fantasy|Mystery|Thriller,Action,Drama,Fantasy,Mystery,Thriller,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Romance|Sci-Fi,Comedy,Romance,Sci-Fi,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Mystery|Sci-Fi|Thriller,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Drama|Sci-Fi|Thriller,Action,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Comedy|Drama|Music,Comedy,Drama,Music,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Music,Comedy,Music,,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Action|Crime|Sci-Fi,Action,Crime,Sci-Fi,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|History|Romance|War,Drama,History,Romance,War,,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Drama|Romance|War,Drama,Romance,War,,,,,,,,,,,,,,,,
Drama|Fantasy,Drama,Fantasy,,,,,,,,,,,,,,,,,
Comedy|Horror|Romance,Comedy,Horror,Romance,,,,,,,,,,,,,,,,
Drama|Family,Drama,Family,,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Drama|Western,Drama,Western,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance|Sport,Comedy,Drama,Romance,Sport,,,,,,,,,,,,,,,
Comedy|Crime|Drama,Comedy,Crime,Drama,,,,,,,,,,,,,,,,
Drama|War,Drama,War,,,,,,,,,,,,,,,,,
Drama|Sport,Drama,Sport,,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Drama|Thriller,Action,Comedy,Crime,Drama,Thriller,,,,,,,,,,,,,,
Comedy|Horror|Sci-Fi,Comedy,Horror,Sci-Fi,,,,,,,,,,,,,,,,
Action|Comedy|Crime,Action,Comedy,Crime,,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Comedy|Drama|Family,Comedy,Drama,Family,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Drama|Romance,Action,Drama,Romance,,,,,,,,,,,,,,,,
Action|Drama|Romance,Action,Drama,Romance,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Biography|Drama|History|Romance,Biography,Drama,History,Romance,,,,,,,,,,,,,,,
Comedy|Crime,Comedy,Crime,,,,,,,,,,,,,,,,,
Crime|Drama|Horror|Mystery|Thriller,Crime,Drama,Horror,Mystery,Thriller,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Action|Comedy|Drama|Thriller,Action,Comedy,Drama,Thriller,,,,,,,,,,,,,,,
Adventure|Drama|History,Adventure,Drama,History,,,,,,,,,,,,,,,,
Biography|Drama|Thriller|War,Biography,Drama,Thriller,War,,,,,,,,,,,,,,,
Comedy|War,Comedy,War,,,,,,,,,,,,,,,,,
Biography|Drama|Music|Musical,Biography,Drama,Music,Musical,,,,,,,,,,,,,,,
Comedy|Family,Comedy,Family,,,,,,,,,,,,,,,,,
Fantasy|Horror,Fantasy,Horror,,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Adventure|Comedy,Adventure,Comedy,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Biography|Drama,Biography,Drama,,,,,,,,,,,,,,,,,
Comedy|Fantasy,Comedy,Fantasy,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Drama|Family|Romance,Drama,Family,Romance,,,,,,,,,,,,,,,,
Drama|Fantasy|Horror|Thriller,Drama,Fantasy,Horror,Thriller,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Adventure|Comedy|Family,Adventure,Comedy,Family,,,,,,,,,,,,,,,,
Drama|War,Drama,War,,,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Music|Romance,Adventure,Comedy,Family,Music,Romance,,,,,,,,,,,,,,
Action|Drama|Thriller,Action,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror,Comedy,Fantasy,Horror,,,,,,,,,,,,,,,,
Horror|Mystery|Sci-Fi,Horror,Mystery,Sci-Fi,,,,,,,,,,,,,,,,
Biography|Drama|Music,Biography,Drama,Music,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Biography|Drama|Romance,Biography,Drama,Romance,,,,,,,,,,,,,,,,
Comedy|Crime,Comedy,Crime,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Adventure|Biography|Drama|History|War,Adventure,Biography,Drama,History,War,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Adventure|Biography|Drama,Adventure,Biography,Drama,,,,,,,,,,,,,,,,
Crime|Horror|Thriller,Crime,Horror,Thriller,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Horror|Thriller,Comedy,Horror,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Adventure|Family|Fantasy|Romance,Adventure,Family,Fantasy,Romance,,,,,,,,,,,,,,,
Biography|Drama,Biography,Drama,,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Comedy|Family|Music|Romance,Comedy,Family,Music,Romance,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Horror|Sci-Fi,Drama,Horror,Sci-Fi,,,,,,,,,,,,,,,,
Drama|Family|Sport,Drama,Family,Sport,,,,,,,,,,,,,,,,
Comedy|Drama|Family,Comedy,Drama,Family,,,,,,,,,,,,,,,,
Drama|Romance|Sport,Drama,Romance,Sport,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Romance|Thriller,Action,Comedy,Crime,Romance,Thriller,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Adventure|Fantasy|Horror|Mystery|Thriller,Adventure,Fantasy,Horror,Mystery,Thriller,,,,,,,,,,,,,,
Drama|Fantasy|Horror|Thriller,Drama,Fantasy,Horror,Thriller,,,,,,,,,,,,,,,
Drama|Romance|Thriller,Drama,Romance,Thriller,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Romance|Thriller,Action,Crime,Drama,Romance,Thriller,,,,,,,,,,,,,,
Adventure|Drama|Family,Adventure,Drama,Family,,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama|Family|Fantasy|Romance,Drama,Family,Fantasy,Romance,,,,,,,,,,,,,,,
Action|Drama|Thriller,Action,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Comedy,Action,Comedy,,,,,,,,,,,,,,,,,
Drama|Music,Drama,Music,,,,,,,,,,,,,,,,,
Horror|Mystery|Sci-Fi|Thriller,Horror,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama|History|Thriller|War,Drama,History,Thriller,War,,,,,,,,,,,,,,,
Action|Horror|Sci-Fi|Thriller,Action,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Crime|Thriller,Crime,Thriller,,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Documentary|Music,Documentary,Music,,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Sci-Fi,Action,Adventure,Fantasy,Sci-Fi,,,,,,,,,,,,,,,
Crime|Drama|Musical|Romance,Crime,Drama,Musical,Romance,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Sport,Drama,Sport,,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Crime|Thriller,Crime,Thriller,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Biography|Drama|Music|Musical,Biography,Drama,Music,Musical,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Adventure|Family,Adventure,Family,,,,,,,,,,,,,,,,,
Action,Action,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Sci-Fi,Drama,Sci-Fi,,,,,,,,,,,,,,,,,
Family|Music|Romance,Family,Music,Romance,,,,,,,,,,,,,,,,
Drama|Fantasy|Mystery|Sci-Fi,Drama,Fantasy,Mystery,Sci-Fi,,,,,,,,,,,,,,,
Comedy|Crime,Comedy,Crime,,,,,,,,,,,,,,,,,
Drama|Music,Drama,Music,,,,,,,,,,,,,,,,,
Crime|Drama|Romance|Thriller,Crime,Drama,Romance,Thriller,,,,,,,,,,,,,,,
Biography|Drama|History|Thriller|War,Biography,Drama,History,Thriller,War,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Fantasy|Romance,Fantasy,Romance,,,,,,,,,,,,,,,,,
Adventure|Comedy|Family,Adventure,Comedy,Family,,,,,,,,,,,,,,,,
Comedy|Crime|Drama,Comedy,Crime,Drama,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy|Music,Comedy,Music,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Adventure|Crime|Drama|Mystery|Western,Adventure,Crime,Drama,Mystery,Western,,,,,,,,,,,,,,
Drama|War,Drama,War,,,,,,,,,,,,,,,,,
Comedy|Crime|Mystery,Comedy,Crime,Mystery,,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror|Thriller,Comedy,Fantasy,Horror,Thriller,,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama|Fantasy|Horror|Romance,Drama,Fantasy,Horror,Romance,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Drama|Romance|Sci-Fi,Drama,Romance,Sci-Fi,,,,,,,,,,,,,,,,
Drama|History|Thriller,Drama,History,Thriller,,,,,,,,,,,,,,,,
Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,,
Adventure|Drama|Fantasy,Adventure,Drama,Fantasy,,,,,,,,,,,,,,,,
Comedy|Crime|Drama,Comedy,Crime,Drama,,,,,,,,,,,,,,,,
Crime|Drama|Horror|Thriller,Crime,Drama,Horror,Thriller,,,,,,,,,,,,,,,
Drama|Sci-Fi|Thriller,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Drama|Thriller,Drama,Thriller,,,,,,,,,,,,,,,,,
Drama|Sci-Fi,Drama,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Crime|Drama,Crime,Drama,,,,,,,,,,,,,,,,,
Action|Drama,Action,Drama,,,,,,,,,,,,,,,,,
Comedy|Crime|Drama|Thriller|War,Comedy,Crime,Drama,Thriller,War,,,,,,,,,,,,,,
Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,,,,,,,,,,,
Action,Action,,,,,,,,,,,,,,,,,,
Action|Adventure|Drama|History|Thriller|War,Action,Adventure,Drama,History,Thriller,War,,,,,,,,,,,,,
Action|Drama|Thriller,Action,Drama,Thriller,,,,,,,,,,,,,,,,
Fantasy|Horror|Mystery,Fantasy,Horror,Mystery,,,,,,,,,,,,,,,,
Biography|Drama|History,Biography,Drama,History,,,,,,,,,,,,,,,,
Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Comedy|Drama|War,Action,Comedy,Drama,War,,,,,,,,,,,,,,,
Comedy|Drama|Fantasy|Music|Romance,Comedy,Drama,Fantasy,Music,Romance,,,,,,,,,,,,,,
Biography|Drama|Fantasy|History,Biography,Drama,Fantasy,History,,,,,,,,,,,,,,,
Adventure|Animation|Family,Adventure,Animation,Family,,,,,,,,,,,,,,,,
Action|Sci-Fi|Thriller,Action,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Biography,Biography,,,,,,,,,,,,,,,,,,
Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,,,,,,,,,,,
Biography|Drama,Biography,Drama,,,,,,,,,,,,,,,,,
Comedy|Fantasy|Romance,Comedy,Fantasy,Romance,,,,,,,,,,,,,,,,
Comedy|Drama|Music,Comedy,Drama,Music,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|War,Drama,War,,,,,,,,,,,,,,,,,
Drama|Family|Music,Drama,Family,Music,,,,,,,,,,,,,,,,
Drama|Western,Drama,Western,,,,,,,,,,,,,,,,,
Drama,Drama,,,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Drama|Romance|Thriller,Drama,Romance,Thriller,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Action|Adventure|Comedy,Action,Adventure,Comedy,,,,,,,,,,,,,,,,
Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,
Biography|Drama|War,Biography,Drama,War,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Sport,Adventure,Comedy,Family,Sport,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Horror|Thriller,Horror,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Drama,Action,Adventure,Drama,,,,,,,,,,,,,,,,
Drama|Music|Romance,Drama,Music,Romance,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Documentary,Documentary,,,,,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Adventure|Drama,Adventure,Drama,,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Biography|Drama|History,Biography,Drama,History,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Drama|Family|Musical,Adventure,Animation,Comedy,Drama,Family,Musical,,,,,,,,,,,,,
Drama|Romance,Drama,Romance,,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Thriller,Action,Comedy,Crime,Thriller,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror|Romance,Comedy,Fantasy,Horror,Romance,,,,,,,,,,,,,,,
Horror,Horror,,,,,,,,,,,,,,,,,,
Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Adventure|Mystery|Thriller,Adventure,Mystery,Thriller,,,,,,,,,,,,,,,,
Comedy|Romance,Comedy,Romance,,,,,,,,,,,,,,,,,
Comedy,Comedy,,,,,,,,,,,,,,,,,,
Comedy|Drama|War,Comedy,Drama,War,,,,,,,,,,,,,,,,
Fantasy|Horror,Fantasy,Horror,,,,,,,,,,,,,,,,,
Drama|Music|Musical|Romance,Drama,Music,Musical,Romance,,,,,,,,,,,,,,,
Comedy|Drama,Comedy,Drama,,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Horror|Sci-Fi|Thriller,Action,Horror,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Adventure|Comedy|Family,Adventure,Comedy,Family,,,,,,,,,,,,,,,,
Drama|History,Drama,History,,,,,,,,,,,,,,,,,
Comedy|Mystery|Romance,Comedy,Mystery,Romance,,,,,,,,,,,,,,,,
Adventure|Comedy,Adventure,Comedy,,,,,,,,,,,,,,,,,
